No,Name,X,Y,h,H,zeta,,,,,,,,,,,,,,,
40,IV-40 ,1203413.6,598073.53,8.874,8.265,0.609,,,,,,,,,,,,,,,
41,IV-41 ,1203137.24,598074.7,10.222,9.613,0.609,,,,,,,,,,,,,,,
42,IV-42 ,1202900.35,598100.7,9.473,8.864,0.609,,,,,,,,,,,,,,,
43,IV-43 ,1202751.85,597925.84,8.228,7.619,0.609,,,,,,,,,,,,,,,
44,IV-44 ,1202552.04,597624.12,8.846,8.235,0.611,,,,,,,,,,,,,,,
45,IV-45 ,1202381.93,597525.6,8.432,7.821,0.611,,,,,,,,,,,,,,,
46,IV-46 ,1201871.86,597825.49,6.221,5.613,0.608,,,,,,,,,,,,,,,
47,IV-47 ,1201675.39,597197.4,7.732,7.121,0.611,,,,,,,,,,,,,,,
48,IV-48 ,1201481.55,597126.99,7.274,6.662,0.612,,,,,,,,,,,,,,,
49,IV-49 ,1204164.11,596307.62,4.729,4.107,0.622,,,,,,,,,,,,,,,
50,IV-50 ,1203938.21,596157.11,5.062,4.44,0.622,,,,,,,,,,,,,,,
51,IV-51 ,1203538.28,596201.94,7.249,6.616,0.633,,,,,,,,,,,,,,,
52,IV-52 ,1203185.66,596295,7.545,6.925,0.62,,,,,,,,,,,,,,,
53,IV-53 ,1202976.17,596295.65,7.578,6.958,0.62,,,,,,,,,,,,,,,
54,IV-54 ,1202635.28,595881.6,7.283,6.662,0.621,,,,,,,,,,,,,,,
55,IV-55 ,1202363.78,595883,6.987,6.367,0.62,,,,,,,,,,,,,,,
56,IV-56 ,1202117.5,595175.51,6.08,5.456,0.624,,,,,,,,,,,,,,,
57,IV-57 ,1201723.68,594931.38,6.067,5.442,0.625,,,,,,,,,,,,,,,
58,IV-58 ,1201605.3,594532.89,7.826,7.2,0.626,,,,,,,,,,,,,,,
59,IV-59 ,1201536.1,594163.59,8.019,7.391,0.628,,,,,,,,,,,,,,,
60,IV-60 ,1200972.22,594157.8,7.741,7.114,0.627,,,,,,,,,,,,,,,
61,IV-61 ,1200841.2,594854.32,7.387,6.764,0.623,,,,,,,,,,,,,,,
62,IV-62 ,1200614.81,595304.12,7.758,7.138,0.62,,,,,,,,,,,,,,,
63,IV-63 ,1200436.83,595542.31,7.207,6.589,0.618,,,,,,,,,,,,,,,
64,IV-64 ,1200200.4,595664.07,7.305,6.688,0.617,,,,,,,,,,,,,,,
65,IV-65 ,1199843.75,595323.36,7.033,6.415,0.618,,,,,,,,,,,,,,,
66,IV-66 ,1199430.49,595381.71,3.881,3.264,0.617,,,,,,,,,,,,,,,
67,IV-67 ,1199141.79,594972.5,4.553,3.935,0.618,,,,,,,,,,,,,,,
